brand,title,start_time,distance,volume,gear,tag,price
奔驰, GLE级 2017款 GLE 400 4MATIC 轿跑SUV,2017年,1.7万公里,3.0升,自动,,68.8
大众, 凯路威 2017款 2.0TSI 四驱豪华版 7座,2019年,0.2万公里,2.0升,自动,高配,48.8
丰田, 威驰 2005款 1.3L GL MT,2005年,19万公里,1.3升,手动,,0.56
雷克萨斯, IS 2011款 250C 2.5L 自动 硬顶,2012年,6万公里,2.5升,自动,高配,21.5
日产, 天籁 2008款 公爵 2.5L XV尊雅版,2009年,17万公里,2.5升,自动,,5.5
风行, 菱智 2016款 V3 1.5 手动 豪华型7座,2016年,7万公里,1.5升,手动,,3.36
奔驰, CLA级 2016款 CLA 220 4MATIC,2016年,3万公里,2.0升,自动,,22.38
华颂, 7 2015款 2.0T 自动 旗舰型,2017年,4.5万公里,2.0升,自动,高配,14
奔驰, C级 2017款 改款 C 200 L 运动版,2017年,3万公里,2.0升,自动,,27.9
劳斯莱斯, 库里南 2018款 五座版,2019年,0.8万公里,6.7升,自动,,650
大众, 桑塔纳志俊 2008款 1.8L 手动 豪华型,2010年,12万公里,1.8升,手动,,1.7
宝马, 5系 2013款 525Li 豪华型,2013年,13万公里,2.0升,自动,,20.8
福特, 福克斯两厢 2012款 两厢经典 1.8L 自动时尚型,2012年,8万公里,1.8升,自动,,3.8
本田, 雅阁 2018款 230TURBO 舒适版 国VI,2018年,1.3万公里,1.5升,自动,,12.88
大众, 帕萨特 2005款 1.8T 手动天窗型,2005年,15万公里,1.8升,手动,,0.9
林肯, 领航员 2016款 3.5T AWD,2016年,4万公里,3.5升,自动,高配,48.5
奔驰, 唯雅诺Viano 2006款 Viano 3.2L,2007年,9.9万公里,3.2升,自动,高配,9.72
江铃, 经典全顺 2013款 VE83柴油 长轴 多功能 中顶 10座 高功率版,2015年,6.8万公里,2.8升,手动,,8.25
奔驰, CLS级 2016款 CLS 260 猎装版,2016年,4.4万公里,2.0升,自动,,53.5
路虎, 揽胜 2018款 3.0 V6 SC Vogue 传世加长版,2018年,5万公里,3.0升,自动,,109
斯柯达, 昕动 2016款 1.4TSI DSG智行版,2016年,3万公里,1.4升,自动,高配,16.8
宾利, 欧陆 2016款 4.0T GT V8 S 标准版,2016年,2.9万公里,4.0升,自动,,172.8
路虎, 揽胜 2017款 5.0 V8 SC AB 尊崇创世加长版,2018年,4万公里,5.0升,自动,,123
奔驰, R级 2015款 R 400 4MATIC 商务型,2015年,15万公里,3.0升,自动,,35.5
奔驰, E级 2017款 改款 E 200 运动型 4MATIC,2017年,3万公里,2.0升,自动,,33.9
路虎, 揽胜 2014款 5.0 V8 SC AB 尊崇创世加长版,2014年,8.4万公里,5.0升,自动,,93.8
奔驰, R级 2015款 R 320 4MATIC 豪华型,2016年,5.5万公里,3.0升,自动,,34.5
奔驰, C级 2018款 C 200 运动版,2017年,2.7万公里,2.0升,自动,,25.5
林肯, MKC 2019款 MKC 2.0T 四驱尊耀版 国V,2018年,1.3万公里,2.0升,自动,,26.88
福特, 福克斯三厢 2012款 三厢 1.6L 手动舒适型,2012年,6万公里,1.6升,手动,,2.4
马自达, 6 2012款 2.0L 自动时尚型,2012年,8万公里,2.0升,自动,,5.9
丰田, 兰德酷路泽 2016款 4.0L 自动 4000 中东版 停产,2017年,7万公里,4.0升,自动,,62.8
别克, 君越 2006款 2.4 自动 舒适型,2006年,20万公里,2.4升,自动,,0.99
别克, GL8 2014款 2.4L CT豪华商务舒适版,2016年,3.6万公里,2.4升,自动,,18.68
保时捷, Cayenne 2007款 Cayenne 3.6L,2007年,8万公里,3.6升,自动,,15
日产, 颐达 2006款 1.6 手动 J 时尚型,2006年,18万公里,1.6升,手动,,1
日产, 骊威 2010款 劲锐版 1.6L 自动智能高配型,2011年,13万公里,1.6升,自动,,4.3
宝马, 7系 2018款 M760Li xDrive 卓越奢华版,2018年,0.6万公里,6.6升,自动,高配,168
丰田, 雅力士 2010款 GS 1.6 自动 锐动版,2010年,10万公里,1.6升,自动,高配,3.1
丰田, 兰德酷路泽 2010款 4.7L 自动VX,2010年,16万公里,4.7升,自动,,45
奔驰, R级 2014款 R 320 4MATIC 商务型,2014年,12.5万公里,3.0升,自动,,29.86
现代, 悦动 2007款 1.6 手动,2008年,12万公里,1.6升,手动,,1.2
路虎, 发现 2017款 3.0 V6 SE,2017年,3.9万公里,3.0升,自动,,49.8
大众, CC 2019款 CC 380TSI 曜颜版,2018年,0.4万公里,2.0升,自动,,24
大众, 路坦 2010款 3.8 自动 豪华型,2010年,5.6万公里,3.8升,自动,,18.5
别克, 君越 2010款 3.0L旗舰版,2011年,9.5万公里,3.0升,自动,高配,7.8
别克, 凯越 2007款 LE 1.8 手动 舒适版,2008年,13万公里,1.8升,手动,,1
奥迪, A8L 2014款 A8L 45 TFSI quattro舒适型,2014年,8万公里,3.0升,自动,,38.8
奥迪, A7 2018款 50 TFSI quattro 动感型,2018年,1.25万公里,3.0升,自动,高配,58.5
沃尔沃, V90 2019款 V90 Cross Country T5 AWD 智尊版,2018年,2.1万公里,2.0升,自动,,42.98
奥迪, RS 6 2016款 RS 6 4.0T Avant,2018年,1.7万公里,4.0升,自动,高配,113
宝马, X1 2014款 sDrive18i 领先型,2014年,7.7万公里,2.0升,自动,,15.28
别克, 凯越 2008款 1.6LEATNavi,2009年,8万公里,1.6升,自动,,2.2
大众, 途锐 2007款 3.6L 顶级型,2009年,11.4万公里,3.6升,自动,,17.98
江铃, 途睿欧 2017款 途睿欧 2.0T 自动 精睿版,2017年,2万公里,2.0升,自动,,16.8
马自达, 6 2012款 2.0L 自动超豪华型,2013年,7.53万公里,2.0升,自动,高配,6.4
别克, 君越 2012款 2.4L SIDI雅致版,2012年,8.7万公里,2.4升,自动,,6.5
奥迪, S3 2017款 改款 S3 2.0T Limousine,2018年,0.3万公里,2.0升,自动,高配,28.5
雪铁龙, C5 2011款 东方之旅 2.3L 自动尊贵型,2011年,9.5万公里,2.3升,自动,,4.99
大众, 途锐 2005款 4.2 手自一体 四驱顶配版,2004年,11.8万公里,4.2升,自动,,11.8
现代, 新胜达 2010款 2.4 手自一体 7座四驱豪华版,2010年,9万公里,2.4升,自动,,7.28
奔驰, E级 2007款 E 280 时尚型,2007年,8.5万公里,3.0升,自动,,6.85
奔驰, AMG 2014款 AMG C 63 Coupe Edition 507,2014年,6.8万公里,6.2升,自动,,52.5
奔驰, AMG 2015款 AMG GT S,2017年,1.1万公里,4.0升,自动,,118.8
奔驰, G级 2017款 G 500,2018年,0.9万公里,4.0升,自动,,155.5
丰田, 埃尔法 2012款 3.5L 豪华版,2012年,12万公里,3.5升,自动,,36.8
雷克萨斯, ES 2006款 350 3.5 手自一体 豪华版,2007年,11万公里,3.5升,自动,高配,12.6
雪铁龙, 凯旋 2006款 2.0L 自动尊贵型,2006年,11万公里,2.0升,自动,,1.27
风行, 菱智 2018款 M5L 1.6L 手动豪华型 7座,2018年,3万公里,1.6升,手动,,6.45
宝马, X1(进口) 2012款 sDrive18i 豪华型,2014年,7.6万公里,2.0升,自动,,14.28
奥迪, A6 2002款 1.8T 手自一体 基本型,2002年,18万公里,1.8升,自动,,0.9
起亚, 赛拉图 2007款 1.8L MT TOP,2007年,10万公里,1.8升,手动,,1.35
日产, 天籁 2005款 230JMS,2005年,14万公里,2.3升,自动,,1.55
日产, 奇骏 2017款 2.0L CVT舒适版 2WD,2017年,3.1万公里,2.0升,自动,,14.98
宝马, X3 2018款 X3 xDrive30i 领先型 M运动套装,2018年,0.76万公里,2.0升,自动,,43.68
大众, 捷达 2006款 1.6 手动 CIX伙伴,2006年,10万公里,1.6升,手动,,0.85
别克, GL8 2014款 2.4L CT豪华商务舒适版,2014年,6万公里,2.4升,自动,,20.5
奔驰, E级 2012款 E 260 L CGI时尚型,2012年,8万公里,1.8升,自动,,16.8
路虎, 神行者2 2010款 3.2L 自动 HSE 四驱,2011年,8万公里,3.2升,自动,高配,21.8
现代, 悦动 2007款 1.6 手动,2007年,18万公里,1.6升,手动,,1
雪佛兰, 科鲁兹 2012款 1.8L SE AT,2012年,8万公里,1.8升,自动,,3.38
宝马, 7系 2013款 740Li 领先型,2014年,6万公里,3.0升,自动,,37.5
雷克萨斯, GS 2005款 430,2006年,4万公里,4.3升,自动,,30
福特, 福克斯三厢 2012款 三厢 1.6L 自动尊贵型,2012年,8万公里,1.6升,自动,,3.88
奔驰, 威霆 2013款 3.0L 商务版,2014年,7万公里,3.0升,自动,,26.8
日产, 骊威 2007款 1.6 手动 GX劲锐版智能型,2007年,10万公里,1.6升,手动,,1.6
宝马, 5系 2011款 535Li 豪华型,2011年,10万公里,3.0升,自动,,15.2
奔驰, S级 1991款 3.5 自动,1995年以前,36万公里,3.5升,自动,,4.8
大众, 迈特威 2012款 2.0TSI 四驱尊享版,2015年,6万公里,2.0升,自动,高配,32.8
奔驰, E级(进口) 2010款 E 200 CGI 优雅型,2010年,14万公里,1.8升,自动,,13
奔驰, S级 2006款 S350 3.5 手自一体 V6 豪华型,2006年,14万公里,3.5升,自动,,15.3
保时捷, Macan 2016款 Macan 2.0T,2016年,4.7万公里,2.0升,自动,,44.5
奥迪, R8 2013款 5.2 FSI quattro 中国专享型,2014年,2.5万公里,5.2升,自动,高配,98.8
路虎, 神行者2 2009款 3.2 手自一体 HSE高配,2009年,11.7万公里,3.2升,自动,高配,9.9
奥迪, A4L 2017款 40 TFSI 运动型,2017年,2万公里,2.0升,自动,,20.8
路虎, 揽胜运动版 2005款 运动版V8 4.4,2005年,9万公里,4.4升,自动,高配,14.3
荣威, 350 2010款 350D 1.5L 自动迅豪版,2010年,8.5万公里,1.5升,自动,高配,2.3
MINI, 2014款 1.5T COOPER Fun,2015年,6.2万公里,1.5升,自动,,15.5
玛莎拉蒂, Levante 2018款 3.0T 350Hp 豪华杰尼亚版,2018年,1万公里,3.0升,自动,,81.98
铃木, 北斗星 2007款 1.4L 手动限量版,2007年,10万公里,1.4升,手动,高配,0.85
依维柯, 2012款 Daily 2.5T A32基本型,2012年,9.2万公里,2.5升,手动,高配,2.9
英菲尼迪, QX60 2014款 2.5T Hybrid 两驱卓越版,2014年,7.2万公里,2.5升,自动,,26.58
奥迪, Q7 2018款 40 TFSI S line运动型,2018年,1.26万公里,2.0升,自动,,53.38
大众, 迈腾 2007款 1.8TSI 自动豪华型,2007年,11万公里,1.8升,自动,高配,2.45
大众, 凯路威 2017款 2.0TSI 四驱豪华版 7座,2017年,1.8万公里,2.0升,自动,高配,47.3
奔驰, C级(进口) 2013款 C 180 轿跑版,2014年,8万公里,1.8升,自动,高配,16.8
本田, CRV 2010款 2.4L 自动四驱尊贵导航版,2010年,3万公里,2.4升,自动,高配,10.6
路虎, 揽胜 2016款 3.0 V6 SC Vogue,2017年,5万公里,3.0升,自动,,85.6
别克, GL8 2015款 2.4L 豪华商务尊享版,2016年,7万公里,2.4升,自动,高配,17.6
铃木, 奥拓 2009款 1.0L 手动舒适型,2009年,12万公里,1.0升,手动,,0.8
本田, 飞度 2018款 1.5L CVT舒适天窗版,2018年,2万公里,1.5升,自动,,7.9
日产, 阳光 2014款 1.5XL CVT豪华版,2014年,5.6万公里,1.5升,自动,,4.9
现代, 悦动 2008款 1.6 自动 豪华型导航版,2009年,12万公里,1.6升,自动,,1.6
大众, 高尔夫 2018款 230TSI 自动豪华型,2018年,0.1万公里,1.4升,自动,,14.5
福特, 福克斯三厢 2005款 三厢 1.8L 自动时尚型,2005年,13万公里,1.8升,自动,,0.8
本田, 思迪 2006款 1.3L 手动,2006年,12万公里,1.3升,手动,,0.8
克莱斯勒, 铂锐 2008款 2.0 手自一体舒适型,2008年,11万公里,2.0升,自动,,2.72
保时捷, Cayenne 2006款 Cayenne 3.2L AT,2006年,13万公里,3.2升,自动,,12
大众, 迈腾 2009款 2.0TSI DSG豪华型,2009年,11万公里,2.0升,自动,高配,6.2
丰田, 威驰 2005款 1.3L GL MT,2005年,19万公里,1.3升,手动,,0.56
福特, 福克斯三厢 2012款 三厢 1.6L 手动舒适型,2012年,6万公里,1.6升,手动,,2.4
标致, 206 2006款 1.4L 自动,2006年,11万公里,1.4升,自动,,0.7
别克, GL8 2007款 陆尊LT 3.0 自动 豪华版,2006年,13万公里,3.0升,自动,高配,3.2
起亚, 欧菲莱斯 2007款 2.7 手自一体 舒适版,2007年,12万公里,2.7升,自动,,5
奥迪, Q3 2015款 35 TFSI quattro 豪华型,2015年,7万公里,2.0升,自动,,15.3
标致, 206 2006款 Super S 1.6 自动型,2006年,0.7万公里,1.6升,自动,,0.7
大众, 甲壳虫 2013款 1.2TSI 时尚型,2013年,8.7万公里,1.2升,自动,,10.28
奥迪, A6 2002款 1.8T 手自一体 基本型,2003年,18万公里,1.8升,自动,,1
北汽制造, 陆霸 2003款 3.4 自动 四驱版,2005年,13万公里,3.4升,自动,高配,3.9
MINI, 2011款 1.6L COOPER Excitement,2011年,8万公里,1.6升,自动,,8.4
大通, G10 2016款 2.0T 自动 精英版,2016年,2万公里,2.0升,自动,,22.9
现代, 伊兰特 2011款 1.6L 手动舒适型,2014年,9.7万公里,1.6升,手动,营转非,1.35
本田, 飞度 2006款 1.5 CVT 舒适版,2006年,12万公里,1.5升,自动,,1.95
江淮, 瑞风 2004款 2.4 手动 7座标准型,2004年,14万公里,2.4升,手动,,1
大众, 迈腾 2007款 2.0 手动标准型,2008年,14万公里,2.0升,手动,,3.2
马自达, 3 2007款 1.6L 手动标准型,2007年,11万公里,1.6升,手动,,1.2
福特, 福克斯两厢 2007款 两厢 1.8L 手动舒适型,2008年,10万公里,1.8升,手动,,1.65
海马, 丘比特 2010款 1.5 手自一体 Csport,2010年,9万公里,1.5升,自动,高配,1.75
马自达, 3 2007款 1.6L 自动标准型,2008年,10万公里,1.6升,自动,,2.35
路虎, 揽胜 2014款 3.0 V6 SC Vogue SE,2014年,6万公里,3.0升,自动,,70
奥迪, A4L 2011款 2.0 TFSI 标准型,2011年,8万公里,2.0升,自动,,10.98
现代, 新胜达 2010款 2.4 手自一体 7座四驱豪华版,2010年,15万公里,2.4升,自动,,6.98
大众, 桑塔纳 2015款 1.6L 手动舒适版,2015年,9.2万公里,1.6升,手动,营转非,2.48
大众, CC 2013款 2.0TSI 豪华型,2013年,5.7万公里,2.0升,自动,,15.18
路虎, 发现 2017款 3.0 V6 SE,2017年,5万公里,3.0升,自动,,51
三菱, 帕杰罗 2011款 V73 3.0L AT GLS,2011年,11万公里,3.0升,自动,高配,13.8
大众, 帕萨特领驭 2005款 1.8T 手动豪华型,2006年,10万公里,1.8升,手动,,1.5
铃木, 雨燕 2005款 1.3L 手动舒适型,2005年,12万公里,1.3升,手动,,0.5
日产, 马克西马 2004款 3.5 自动,2006年,16万公里,3.5升,自动,高配,3.30
现代, 悦动 2007款 1.6 手动,2007年,11万公里,1.6升,手动,,1.2
永源, UFO 2015款 1.5 手动 十周年纪念版,2015年,6万公里,1.5升,手动,高配,2.8
保时捷, Cayman 2009款 Cayman S 3.4L,2009年,11万公里,3.4升,自动,高配,19.8
丰田, 威驰 2017款 1.5L CVT创行版,2018年,2万公里,1.5升,自动,,5.38
江淮, 瑞风 2011款 2.4 手动 11座政采版豪华型,2012年,7万公里,2.4升,手动,,5.85
宝马, X4 2014款 xDrive28i M运动型,2015年,8万公里,2.0升,自动,,28
现代, 新胜达 2006款 2.7 豪华型,2007年,12万公里,2.7升,自动,,4.5
精灵smart, fortwo 2013款 1.0T 硬顶激情版,2013年,4.8万公里,1.0升,自动,,5.8
奥迪, A4 2004款 1.8T 标准型,2004年,12.5万公里,1.8升,自动,,1.5
马自达, 6 2004款 2.0L 自动豪华型,2004年,14.5万公里,2.0升,自动,,1.2
丰田, 普拉多 2005款 4.0 自动 GX,2005年,9万公里,4.0升,自动,,6.5
宝马, M系 2014款 M4敞篷轿跑车,2015年,5万公里,3.0升,自动,,58.8
大众, 捷达 2015款 质惠版 1.6L 手动舒适型,2014年,8.7万公里,1.6升,手动,营转非,1.95
日产, 天籁 2005款 230JM,2005年,14万公里,2.3升,自动,,1.2
日产, 轩逸 2012款 1.6XL CVT豪华版,2012年,5万公里,1.6升,自动,,6.6
马自达, 6 2004款 2.3L 自动技术型,2004年,9万公里,2.3升,自动,,0.98
日产, 天籁 2005款 230JMS,2005年,15万公里,2.3升,自动,,1.65
比亚迪, F0 2008款 1.0L 舒适型,2009年,12万公里,1.0升,手动,,0.55
大众, POLO 2004款 两厢 1.4L 自动基本型,2004年,12万公里,1.4升,自动,,0.8
江铃, 特顺 2017款 特顺 2.4L商务型长轴中顶14/15座4G69S4N,2018年,1万公里,2.4升,手动,,10.98
大众, 途锐 2011款 3.0TSI 豪华型,2011年,15万公里,3.0升,自动,,19.98
大众, 帕萨特 2004款 1.8T 自动基本型,2004年,15万公里,1.8升,自动,,0.9
丰田, 花冠 2004款 1.8L 手动GLi,2004年,15万公里,1.8升,手动,,1
标致, 308 2012款 2.0L 自动尊尚型,2012年,8万公里,2.0升,自动,高配,3.9
本田, 飞度 2004款 1.3L 手动,2004年,12万公里,1.3升,手动,,0.75
福特, 蒙迪欧 2006款 2.5 手自一体 经典型,2006年,14万公里,2.5升,自动,,0.9
宝马, Z4 2013款 sDrive20i领先型,2013年,8万公里,2.0升,自动,,21.9
奥迪, A6L 2016款 45 TFSI quattro 运动型,2016年,11.52万公里,3.0升,自动,,27.69
比亚迪, F3 2016款 1.5L 手动舒适型,2016年,4万公里,1.5升,手动,,2.8
大众, 捷达 2015款 质惠版 1.6L 手动舒适型,2015年,9.3万公里,1.6升,手动,营转非,2.45
奔驰, G级 2013款 G 500,2014年,9万公里,5.5升,自动,高配,89.5
奔驰, AMG 2017款 改款 AMG A 45 4MATIC,2017年,4万公里,2.0升,自动,,36.08
沃尔沃, S90 2020款 S90 T5 智逸豪华版,2019年,0.73万公里,2.0升,自动,,23.58
奥迪, A6(进口) 2018款 3.0T allroad quattro,2018年,4.7万公里,3.0升,自动,高配,43.98
风行, 菱智 2011款 1.9T 手动  汽油 创业型长轴7座,2011年,9万公里,1.9升,手动,,1.85
大众, 速腾 2009款 1.6L 自动时尚型,2009年,11万公里,1.6升,自动,,3.7
雪佛兰, 科鲁兹 2009款 1.6L SE AT,2009年,11万公里,1.6升,自动,,1.8
保时捷, Cayenne 2007款 Cayenne 3.6L,2009年,12.85万公里,3.6升,自动,,22.98
奥迪, A5 2017款 Sportback 45 TFSI quattro 运动型,2018年,0.34万公里,2.0升,自动,,37.98
别克, 君威 2015款 1.6T 领先技术型,2015年,6.2万公里,1.6升,自动,,9.38
东南, DX3 2019款 1.5T CVT豪华型 国VI,2019年,0.88万公里,1.5升,自动,,5.98
日产, 天籁 2004款 230JK(天窗版),2004年,13万公里,2.3升,自动,,1.2
本田, 飞度 2004款 1.3L CVT,2004年,10万公里,1.3升,自动,,1
大众, 帕萨特 2003款 1.8T 手自一体 舒适天窗版,2003年,15万公里,1.8升,自动,,0.75
奔驰, E级 2011款 E 200 L CGI优雅型,2012年,12.5万公里,1.8升,自动,,16.18
大众, 桑塔纳 2015款 1.6L 手动豪华版,2015年,8.6万公里,1.6升,手动,营转非,2.45
本田, 锋范经典 2008款 1.5L 自动精英版,2008年,13.6万公里,1.5升,自动,,1.8
斯柯达, 明锐 2015款 1.6L 手动逸致版,2015年,6.3万公里,1.6升,手动,,5
雷克萨斯, IS 2007款 300 3.0 手自一体 炫动特别版,2007年,13万公里,3.0升,自动,高配,7.5
奔驰, G级 2013款 G 500,2014年,9万公里,5.5升,自动,高配,89.5
宝马, 1系(进口) 2013款 改款 118i 领先型,2014年,6.5万公里,1.6升,自动,,12.66
金杯, 阁瑞斯MPV 2015款 2.2 手动 经典版 豪华型长轴11座,2016年,3.1万公里,2.2升,手动,,7.55
日产, 新蓝鸟 2018款 蓝鸟 1.6L 手动时尚潮音版,2018年,1.3万公里,1.6升,手动,,5.58
宝马, X1 2014款 sDrive18i 领先型,2014年,5万公里,2.0升,自动,,15
奔驰, C级(进口) 2015款 C 200 旅行轿车,2016年,7万公里,2.0升,自动,高配,27.8
大众, 朗逸 2013款 改款 1.4TSI 手动舒适版,2014年,8.9万公里,1.4升,手动,营转非,2.65
现代, 伊兰特 2011款 1.6L 手动舒适型,2014年,8.8万公里,1.6升,手动,营转非,1.35
腾势汽车, 腾势 2016款 腾势 荣耀版,2016年,2.7万公里,1.0升,自动,高配,9.5
大通, G10 2016款 2.0T 自动 豪华行政版,2017年,5万公里,2.0升,自动,,23
丰田, 普拉多(进口) 2008款 2.7 自动 中东版,2008年,8万公里,2.7升,自动,,15
福特, 福克斯两厢 2006款 两厢 1.8L 自动时尚型,2006年,18万公里,1.8升,自动,,1
宝马, 5系 2017款 528Li 豪华设计套装,2017年,4万公里,2.0升,自动,,35
比亚迪, F0 2008款 1.0L 豪华型,2008年,10万公里,1.0升,手动,,0.55
雪佛兰, 科帕奇(进口) 2011款 2.4 AT 7座豪华导航版,2011年,10.8万公里,2.4升,自动,高配,6.88
大众, 帕萨特领驭 2007款 1.8T 手动标准型,2008年,10万公里,1.8升,手动,,2.35
奥迪, A4L 2015款 35 TFSI 自动标准型,2015年,5.7万公里,2.0升,自动,,16.98
大众, 桑塔纳 2015款 1.6L 手动豪华版,2015年,8.6万公里,1.6升,手动,营转非,2.45
大众, 朗逸 2011款 1.6L 手动品雅版,2014年,9.3万公里,1.6升,手动,营转非,1.65
大众, 速腾 2006款 2.0L 自动舒适型,2006年,14万公里,2.0升,自动,,1.3
大众, 捷达 2015款 1.6L 手动豪华型,2015年,8.9万公里,1.6升,手动,营转非,2.65
吉普, 大切诺基(进口) 2016款 3.0 自动 精英导航版,2017年,4万公里,3.0升,自动,,34.8
雷克萨斯, LS 2009款 460 4.6 手自一体 加长版,2009年,12万公里,4.6升,自动,,31.8
大众, 新宝来 2008款 1.6L 自动时尚型,2009年,10万公里,1.6升,自动,,2
比亚迪, F0 2010款 尚酷爱国版 1.0L 尚酷型,2010年,10万公里,1.0升,手动,高配,0.88
保时捷, 911 2016款 Carrera 3.0T,2017年,3.2万公里,3.0升,自动,,103.8
铃木, 吉姆尼 2012款 1.3 MT Mode3导航版,2013年,6.9万公里,1.3升,手动,,9.8
奔驰, E级 2015款 E 320 L 运动型 4MATIC,2015年,4万公里,3.0升,自动,,34.8
大众, 桑塔纳志俊 2010款 1.6L 手动舒适型,2014年,9.3万公里,1.6升,手动,高配_营转非,0.98
宝马, Z4 2009款 sDrive23i领先型,2010年,5.6万公里,2.5升,自动,,17.8
荣威, Ei5 2018款 Ei5 互联网旗舰版,2018年,1万公里,纯电动,自动,,9.8
奥迪, R8 2013款 5.2 FSI quattro 中国专享型,2014年,2.5万公里,5.2升,自动,高配,98.8
宝马, X1(进口) 2010款 xDrive28i,2010年,7.8万公里,3.0升,自动,高配,10.8
现代, 瑞纳 2010款 三厢 1.4L 手动豪华型GLS,2010年,9万公里,1.4升,手动,,2.38
路虎, 揽胜 2009款 5.0T 自动 Super charged,2009年,6万公里,5.0升,自动,高配,27
江铃, 福特新世代全顺 2017款 新全顺 短轴低顶版,2017年,3万公里,2.0升,手动,,10.88
宝马, 5系 2012款 523Li 豪华型,2012年,12万公里,2.5升,自动,,17
大众, 朗逸 2009款 2.0L 手动品悠版,2010年,12万公里,2.0升,手动,,3.68
日产, 轩逸 2019款 轩逸 经典 1.6XL CVT豪华版,2019年,0.8万公里,1.6升,自动,,18.8
现代, 伊兰特 2006款 1.6 自动 豪华型,2006年,15万公里,1.6升,自动,,1.58
玛莎拉蒂, 总裁 2013款 3.0T 标准型,2014年,4万公里,3.0升,自动,,55
奔驰, 斯宾特(进口) 2015款 3.5 自动 7座 欧规版,2016年,3.5万公里,3.5升,自动,,46.5
宝马, 5系 2005款 530i,2005年,15万公里,3.0升,自动,高配,2.6
吉普, 指挥官 2007款 5.7 自动 四驱限量版,2007年,13万公里,5.7升,自动,高配,9.9
宝马, X6 2011款 xDrive35i,2010年,9万公里,3.0升,自动,,25.8
宝马, 5系 2018款 改款 530Li xDrive M运动套装,2018年,2万公里,2.0升,自动,,36.8
吉利, 远景 2010款 1.5L 智能豪华导航版,2010年,8万公里,1.5升,手动,,0.98
九龙, 商务车 2012款 2.5T 手动 柴油 物流型,2013年,3万公里,2.5升,手动,,6.2
现代, 悦动 2008款 1.6L MT GL,2008年,10万公里,1.6升,手动,,1.2
宾利, 飞驰 2005款 6.0T 基本型,2008年,8万公里,6.0升,自动,高配,86.0
日产, 天籁 2005款 230JMS,2005年,16万公里,2.3升,自动,,1.2
本田, 思迪 2006款 1.3L 自动,2006年,19万公里,1.3升,自动,,1.4
大众, 速腾 2006款 1.6 手动 真皮型,2006年,13万公里,1.6升,手动,,1
保时捷, Panamera 2016款 Panamera 4 Executive Edition 3.0T,2016年,4万公里,3.0升,自动,高配,79.38
别克, 君威 2009款 2.4L 精英版,2009年,10万公里,2.4升,自动,,4.4
日产, 阳光 2011款 1.5XV 手动尊贵版,2011年,9.8万公里,1.5升,手动,,2.2
奥迪, A3 2019款 A3 Limousine 40 TFSI 运动型,2019年,0.01万公里,1.4升,自动,,20.8
本田, 艾力绅 2019款 2.0L 混动舒适版,2019年,1.56万公里,2.0升,自动,,24.54
